FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,50,5000,50,0.996,0.993,0.994,0.992,0.995,0.994
2,500,500,20,0.958,0.919,0.938,0.982,0.991,0.986
2,20,200,5,0.143,0.2,0.167,0.974,0.962,0.968
1,500,50000,20,0.999,1.0,0.999,1.0,1.0,1.0
2,100,5000,5,0.985,0.726,0.836,0.987,0.999,0.993
2,50,5000,20,0.991,0.988,0.99,0.997,0.998,0.998
2,500,5000,30,0.98,0.991,0.985,0.996,0.991,0.994
2,50,10000,50,0.997,0.997,0.997,0.997,0.997,0.997
2,50,500,30,0.9,1.0,0.947,1.0,0.959,0.979
1,1000,5000,20,0.985,1.0,0.993,1.0,0.996,0.998
1,500,500,50,0.979,1.0,0.989,1.0,0.981,0.991
1,100,200,20,0.71,0.957,0.815,0.992,0.935,0.963
2,500,1000,30,0.963,0.975,0.969,0.989,0.984,0.987
2,500,1000,10,0.989,0.927,0.957,0.99,0.999,0.994
1,20,500,40,0.941,0.975,0.958,0.983,0.958,0.97
2,1000,200,40,0.859,0.772,0.813,0.8,0.878,0.837
2,1000,1000,5,0.947,0.8,0.867,0.988,0.997,0.993
2,20,50000,50,0.998,1.0,0.999,1.0,0.998,0.999
1,20,200,50,0.837,1.0,0.911,1.0,0.821,0.902
2,500,500,50,0.981,0.995,0.988,0.995,0.98,0.987
1,1000,500,30,0.947,0.992,0.969,0.996,0.974,0.985
2,500,1000,40,0.991,1.0,0.995,1.0,0.994,0.997
1,50,50000,40,1.0,1.0,1.0,1.0,1.0,1.0
2,50,10000,5,0.986,0.884,0.932,0.994,0.999,0.997
2,500,10000,30,0.999,0.994,0.996,0.997,1.0,0.998
1,50,50000,20,1.0,1.0,1.0,1.0,1.0,1.0
2,50,50000,40,0.998,0.998,0.998,0.998,0.999,0.998
